#_Bundle,#_Iteration,#_Agents,#_Attackers,Linar_Speed,Field_Len,Pzone_Len,Sim_Time,defense_time,Result
15,18,25,25,1,80,16,300,42.1,1
15,19,25,25,1,80,16,300,45.7,1
15,20,25,25,1,80,16,300,43.4,0
15,21,25,25,1,80,16,300,61.8,0
15,22,25,25,1,80,16,300,48.1,1
15,23,25,25,1,80,16,300,44.5,1
15,24,25,25,1,80,16,300,52.5,1
15,25,25,25,1,80,16,300,58.3,1
16,1,35,35,1,80,16,300,41.1,0
16,2,35,35,1,80,16,300,39.9,1
16,3,35,35,1,80,16,300,40.4,1
16,4,35,35,1,80,16,300,43.9,0
16,5,35,35,1,80,16,300,40.7,1
16,6,35,35,1,80,16,300,39.1,1
16,7,35,35,1,80,16,300,41.4,1
16,8,35,35,1,80,16,300,44.2,1
16,9,35,35,1,80,16,300,49.1,1
16,10,35,35,1,80,16,300,43.8,1
16,11,35,35,1,80,16,300,47.4,1
16,12,35,35,1,80,16,300,36.4,1
16,13,35,35,1,80,16,300,37,1
16,14,35,35,1,80,16,300,41.4,1
16,15,35,35,1,80,16,300,44,1
16,16,35,35,1,80,16,300,38.7,1
16,17,35,35,1,80,16,300,36,1
16,18,35,35,1,80,16,300,44.4,1
16,19,35,35,1,80,16,300,43.5,1
16,20,35,35,1,80,16,300,44.9,1
16,21,35,35,1,80,16,300,39.5,0
16,22,35,35,1,80,16,300,48.4,1
16,23,35,35,1,80,16,300,60.3,1
16,24,35,35,1,80,16,300,44.3,1
16,25,35,35,1,80,16,300,37.7,1
17,1,45,45,1,80,16,300,40.7,1
17,2,45,45,1,80,16,300,41.6,1
17,3,45,45,1,80,16,300,42.7,1
17,4,45,45,1,80,16,300,39,1
17,5,45,45,1,80,16,300,39.3,1
17,6,45,45,1,80,16,300,33.8,1
17,7,45,45,1,80,16,300,40.4,1
17,8,45,45,1,80,16,300,38.9,1
17,9,45,45,1,80,16,300,36.5,1
17,10,45,45,1,80,16,300,37.5,1
17,11,45,45,1,80,16,300,40.9,1
17,12,45,45,1,80,16,300,34.3,1
17,13,45,45,1,80,16,300,38,1
17,14,45,45,1,80,16,300,43.3,1
17,15,45,45,1,80,16,300,38.4,1
17,16,45,45,1,80,16,300,35,1
17,17,45,45,1,80,16,300,43.1,1
17,18,45,45,1,80,16,300,38.7,1
17,19,45,45,1,80,16,300,35.9,1
17,20,45,45,1,80,16,300,38.8,1
17,21,45,45,1,80,16,300,39,1
17,22,45,45,1,80,16,300,35,1
17,23,45,45,1,80,16,300,36.4,1
17,24,45,45,1,80,16,300,36.9,1
17,25,45,45,1,80,16,300,39.1,1
18,1,55,55,1,80,16,300,36.7,1
18,2,55,55,1,80,16,300,39.9,1
18,3,55,55,1,80,16,300,34.6,1
18,4,55,55,1,80,16,300,37.8,1
18,5,55,55,1,80,16,300,33.9,1
18,6,55,55,1,80,16,300,39.4,1
18,7,55,55,1,80,16,300,36.1,1
18,8,55,55,1,80,16,300,41.1,1
18,9,55,55,1,80,16,300,35.4,1
18,10,55,55,1,80,16,300,34.8,1
18,11,55,55,1,80,16,300,37.3,1
18,12,55,55,1,80,16,300,36.7,1
18,13,55,55,1,80,16,300,36.8,1
18,14,55,55,1,80,16,300,36.6,1
18,15,55,55,1,80,16,300,39.4,1
18,16,55,55,1,80,16,300,36,1
18,17,55,55,1,80,16,300,33.2,1
18,18,55,55,1,80,16,300,34.3,1
18,19,55,55,1,80,16,300,34.5,1
18,20,55,55,1,80,16,300,36.1,1
18,21,55,55,1,80,16,300,38.1,1
18,22,55,55,1,80,16,300,35.6,1
18,23,55,55,1,80,16,300,38.7,1
18,24,55,55,1,80,16,300,32,1
18,25,55,55,1,80,16,300,33.8,1
19,1,5,5,1,130,26,300,57.5,0
19,2,5,5,1,130,26,300,56,0
19,3,5,5,1,130,26,300,54.3,0
19,4,5,5,1,130,26,300,80.1,0
19,5,5,5,1,130,26,300,53.6,0
19,6,5,5,1,130,26,300,54.1,0
19,7,5,5,1,130,26,300,56.5,0
19,8,5,5,1,130,26,300,58.5,0
19,9,5,5,1,130,26,300,55.6,0
19,10,5,5,1,130,26,300,56.3,0
19,11,5,5,1,130,26,300,71.8,0
19,12,5,5,1,130,26,300,52.9,0
19,13,5,5,1,130,26,300,75.2,0
19,14,5,5,1,130,26,300,59.5,0
19,15,5,5,1,130,26,300,57.1,0
19,16,5,5,1,130,26,300,55.3,0
19,17,5,5,1,130,26,300,54.7,0
19,18,5,5,1,130,26,300,75.8,0
19,19,5,5,1,130,26,300,61.7,0
19,20,5,5,1,130,26,300,58.7,0
19,21,5,5,1,130,26,300,53.4,0
19,22,5,5,1,130,26,300,55,0
19,23,5,5,1,130,26,300,60.5,0
19,24,5,5,1,130,26,300,55.7,0
19,25,5,5,1,130,26,300,87.4,0
20,1,15,15,1,130,26,300,58,0
20,2,15,15,1,130,26,300,55.7,0
20,3,15,15,1,130,26,300,55.3,0
20,4,15,15,1,130,26,300,57.4,0
20,5,15,15,1,130,26,300,66,0
20,6,15,15,1,130,26,300,54.3,0
20,7,15,15,1,130,26,300,70.1,0
20,8,15,15,1,130,26,300,58.2,0
20,9,15,15,1,130,26,300,57.3,0
20,10,15,15,1,130,26,300,65.5,0
20,11,15,15,1,130,26,300,63.7,0
20,12,15,15,1,130,26,300,61.3,0
20,13,15,15,1,130,26,300,63.7,0
20,14,15,15,1,130,26,300,53.4,0
20,15,15,15,1,130,26,300,72.9,1
20,16,15,15,1,130,26,300,59.1,0
20,17,15,15,1,130,26,300,81.3,1
20,18,15,15,1,130,26,300,58.1,0
20,19,15,15,1,130,26,300,51.7,0
20,20,15,15,1,130,26,300,56.1,0
20,21,15,15,1,130,26,300,52.4,0
20,22,15,15,1,130,26,300,83.3,0
20,23,15,15,1,130,26,300,77.6,0
20,24,15,15,1,130,26,300,58.2,0
20,25,15,15,1,130,26,300,57.8,0
21,1,25,25,1,130,26,300,61.2,0
21,2,25,25,1,130,26,300,53.5,0
21,3,25,25,1,130,26,300,59.2,0
21,4,25,25,1,130,26,300,77.5,1
21,5,25,25,1,130,26,300,54.8,0
21,6,25,25,1,130,26,300,61,0
21,7,25,25,1,130,26,300,58.4,0
21,8,25,25,1,130,26,300,60.4,0
21,9,25,25,1,130,26,300,59.9,0
21,10,25,25,1,130,26,300,68.4,1
21,11,25,25,1,130,26,300,67.1,1
21,12,25,25,1,130,26,300,62,0
21,13,25,25,1,130,26,300,60.4,0
21,14,25,25,1,130,26,300,73.1,1
21,15,25,25,1,130,26,300,66.1,1
21,16,25,25,1,130,26,300,55.2,0
21,17,25,25,1,130,26,300,73.5,0
21,18,25,25,1,130,26,300,71.5,0
21,19,25,25,1,130,26,300,70.3,0
21,20,25,25,1,130,26,300,75.2,0
21,21,25,25,1,130,26,300,59.5,0
21,22,25,25,1,130,26,300,68.6,1
21,23,25,25,1,130,26,300,65.6,0
21,24,25,25,1,130,26,300,63,0
21,25,25,25,1,130,26,300,69.8,1
22,1,35,35,1,130,26,300,64.6,1
22,2,35,35,1,130,26,300,66.3,1
22,3,35,35,1,130,26,300,53.5,1
22,4,35,35,1,130,26,300,69.1,1
22,5,35,35,1,130,26,300,62.4,0
22,6,35,35,1,130,26,300,56,1
22,7,35,35,1,130,26,300,68.5,1
